"scc","sector","dr","region"
3.2252865556910084,energy,"2.0%",globe
8.007433256029314,energy,"2.0%",globe
8.561726541313499,energy,"2.0%",globe
5.059674626163206,energy,"2.0%",globe
5.962227188109049,energy,"2.0%",globe
10.739780621019118,energy,"2.0%",globe
2.496687246986147,slr,"1.5%",globe
6.197622126379742,slr,"1.5%",globe
3.41683262951458,slr,"1.5%",globe
3.166283840669945,slr,"1.5%",globe
1.387397695097276,slr,"1.5%",globe
3.378374251356486,slr,"1.5%",globe
4.508495302920118,slr,"1.5%",globe
1.0217031470487565,slr,"1.5%",globe
0.7763847429357144,slr,"1.5%",globe
9.291665223635487,slr,"1.5%",globe
-20.533688464923614,agriculture,"1.5%",globe
234.94212969583418,agriculture,"1.5%",globe
137.25175633444792,agriculture,"1.5%",globe
368.5892965339299,agriculture,"1.5%",globe
40.38672498428809,agriculture,"1.5%",globe
222.00034752062874,agriculture,"1.5%",globe
177.4296556802847,agriculture,"1.5%",globe
3.1467496527746963,agriculture,"1.5%",globe
25.518290196267593,agriculture,"1.5%",globe
260.6674648878571,agriculture,"1.5%",globe
20.71378000229014,cromar_mortality,"1.5%",domestic
34.264921902220124,cromar_mortality,"1.5%",domestic
4.028219771500104,cromar_mortality,"1.5%",domestic
2.1288071341278934,cromar_mortality,"1.5%",domestic
8.318211940100818,cromar_mortality,"1.5%",domestic
37.646600428474144,cromar_mortality,"1.5%",domestic
16.94673338608188,cromar_mortality,"1.5%",domestic
1.9599051034748713,cromar_mortality,"1.5%",domestic
23.69163542610122,cromar_mortality,"1.5%",domestic
7.836592002881832,cromar_mortality,"1.5%",domestic
44.89382898925202,total,"2.5%",globe
221.68516236932658,total,"2.5%",globe
104.83564077658083,total,"2.5%",globe
206.75869785953424,total,"2.5%",globe
36.421227001923846,total,"2.5%",globe
141.51809852451296,total,"2.5%",globe
153.72774214346845,total,"2.5%",globe
17.350074502477252,total,"2.5%",globe
45.77328631509008,total,"2.5%",globe
284.39262107482375,total,"2.5%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.0,smoke,"2.0%",globe
0.4603606246708619,agriculture,"1.5%",domestic
1.0053198712769786,agriculture,"1.5%",domestic
-0.2788613167912776,agriculture,"1.5%",domestic
4.337683229104542,agriculture,"1.5%",domestic
-0.03228397092714006,agriculture,"1.5%",domestic
3.0755104437065697,agriculture,"1.5%",domestic
1.5716300913340353,agriculture,"1.5%",domestic
0.04837672633081835,agriculture,"1.5%",domestic
-0.1030020063072752,agriculture,"1.5%",domestic
1.1181058577348304,agriculture,"1.5%",domestic
21.674167868092802,total,"1.5%",domestic
36.45520054883415,total,"1.5%",domestic
4.223487788379693,total,"1.5%",domestic
6.9366143951279975,total,"1.5%",domestic
8.522509618494627,total,"1.5%",domestic
41.316046392679155,total,"1.5%",domestic
19.237122929599234,total,"1.5%",domestic
2.1530790921051515,total,"1.5%",domestic
23.70475101004056,total,"1.5%",domestic
10.085156157823821,total,"1.5%",domestic
9.656893860299649,total,"2.5%",domestic
15.21779729004773,total,"2.5%",domestic
2.0308393725392646,total,"2.5%",domestic
3.0903473101725414,total,"2.5%",domestic
3.179075180208985,total,"2.5%",domestic
13.55161752215117,total,"2.5%",domestic
8.839498768705074,total,"2.5%",domestic
0.7244001778241744,total,"2.5%",domestic
5.58049766690639,total,"2.5%",domestic
7.647592336300992,total,"2.5%",domestic
0.3361394688879676,slr,"2.0%",domestic
0.7405605816091427,slr,"2.0%",domestic
0.29346562811943616,slr,"2.0%",domestic
0.3116176447675931,slr,"2.0%",domestic
0.13603816052834947,slr,"2.0%",domestic
0.3093981273194232,slr,"2.0%",domestic
0.4944255398373985,slr,"2.0%",domestic
0.06950099946272113,slr,"2.0%",domestic
0.06175064361759286,slr,"2.0%",domestic
0.9598704502003895,slr,"2.0%",domestic
-11.11919591548068,agriculture,"2.5%",globe
94.58756733798486,agriculture,"2.5%",globe
52.80637697594832,agriculture,"2.5%",globe
160.1356886604897,agriculture,"2.5%",globe
9.942022211424339,agriculture,"2.5%",globe
87.50276797734494,agriculture,"2.5%",globe
82.11234400959786,agriculture,"2.5%",globe
-6.770666577662948,agriculture,"2.5%",globe
-0.10104273952640073,agriculture,"2.5%",globe
177.08250093736874,agriculture,"2.5%",globe
37.29400092653523,cromar_mortality,"3.0%",globe
75.52651484718993,cromar_mortality,"3.0%",globe
28.272147723869537,cromar_mortality,"3.0%",globe
26.303862078542565,cromar_mortality,"3.0%",globe
15.405735252648718,cromar_mortality,"3.0%",globe
32.740360164363814,cromar_mortality,"3.0%",globe
45.2957754444513,cromar_mortality,"3.0%",globe
14.299513429892503,cromar_mortality,"3.0%",globe
28.182731863162918,cromar_mortality,"3.0%",globe
72.28248719093112,cromar_mortality,"3.0%",globe
0.23238702158871447,agriculture,"2.5%",domestic
0.5067648322423861,agriculture,"2.5%",domestic
-0.06933663463525423,agriculture,"2.5%",domestic
1.7845355347537664,agriculture,"2.5%",domestic
0.034623985328666194,agriculture,"2.5%",domestic
1.0689910883940705,agriculture,"2.5%",domestic
0.6287608354848455,agriculture,"2.5%",domestic
0.039025768031550404,agriculture,"2.5%",domestic
-0.04514744703255439,agriculture,"2.5%",domestic
0.8730661551843406,agriculture,"2.5%",domestic
1.6938408980571518,slr,"2.0%",globe
3.946092365962247,slr,"2.0%",globe
2.1033146138507455,slr,"2.0%",globe
2.0634859631097524,slr,"2.0%",globe
0.8001665842402665,slr,"2.0%",globe
1.8323290847697473,slr,"2.0%",globe
3.093594324933764,slr,"2.0%",globe
0.48833230644515413,slr,"2.0%",globe
0.40467777328168864,slr,"2.0%",globe
7.7417841577732815,slr,"2.0%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
0.0,smoke,"1.5%",globe
-8.535401384060703,agriculture,"3.0%",globe
62.881513224226275,agriculture,"3.0%",globe
33.371374961942834,agriculture,"3.0%",globe
104.49229192165828,agriculture,"3.0%",globe
4.8470856085357115,agriculture,"3.0%",globe
63.10013366385151,agriculture,"3.0%",globe
57.82755563999068,agriculture,"3.0%",globe
-6.5221801997862014,agriculture,"3.0%",globe
-3.196301930729126,agriculture,"3.0%",globe
136.67349166521203,agriculture,"3.0%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
0.0,smoke,"2.5%",globe
6.704835667557747,cromar_mortality,"3.0%",domestic
9.779595872030793,cromar_mortality,"3.0%",domestic
1.3924396034314692,cromar_mortality,"3.0%",domestic
0.814502241180369,cromar_mortality,"3.0%",domestic
2.078536656996423,cromar_mortality,"3.0%",domestic
8.484804221056708,cromar_mortality,"3.0%",domestic
5.617441295387537,cromar_mortality,"3.0%",domestic
0.46938136586258355,cromar_mortality,"3.0%",domestic
3.8061630306301946,cromar_mortality,"3.0%",domestic
4.977425157679615,cromar_mortality,"3.0%",domestic
